lat	lon	ele
45.604343	6.756187	928.4
45.604212	6.756107	928.4
45.604147	6.756065	928.4
45.604082	6.75602	927.2
45.604017	6.755973	927.2
45.603891	6.755874	927.2
45.603828	6.755827	927.2
45.603766	6.755775	927.2
45.603704	6.755726	927.2
45.603584	6.755608	927.2
45.603525	6.755549	926.2
45.603469	6.755488	926.2
45.603414	6.755419	926.2
45.603313	6.755275	926.2
45.603263	6.755199	926.2
45.603216	6.755122	926.2
45.603173	6.755046	925.2
45.603089	6.754882	925.2
45.603047	6.754797	925.2
45.603004	6.754713	925.2
45.602961	6.754633	925.2
45.602869	6.754464	925.2
45.602823	6.754387	924
45.602773	6.754303	924
45.602723	6.754229	924
45.602618	6.75408	924
45.60256	6.754008	924
45.602501	6.753936	924
45.602438	6.75387	923
45.602311	6.753749	923
45.602244	6.753697	923
45.602176	6.753652	923
45.602105	6.753612	923
45.601961	6.753547	923
45.601889	6.753514	922
45.601818	6.753483	922
45.601749	6.753449	922
45.601614	6.753383	922
45.601546	6.753353	922
45.601476	6.753326	922
45.60141	6.753295	922
45.601272	6.753243	922
45.601204	6.753211	922
45.601135	6.753183	920.8
45.601067	6.75315	920.8
45.600935	6.75307	920.8
45.600873	6.75303	920.8
45.600811	6.752971	920.8
45.600751	6.752918	920.8
45.600635	6.752804	920.8
45.600574	6.752741	920.8
45.600517	6.75268	920.8
45.600462	6.752623	920.8
45.600348	6.752501	920.8
45.600294	6.752441	920.8
45.600239	6.752382	920.8
45.600183	6.752318	920.8
45.600073	6.75219	920.8
45.600013	6.752115	920.8
45.599962	6.752054	920.8
45.599905	6.751993	920.8
45.599782	6.751886	920.8
45.599718	6.751844	920.8
45.599647	6.751799	920.8
45.599574	6.75176	920.8
45.599432	6.751717	920.8
45.59936	6.751697	920.8
45.599287	6.75168	920.8
45.599217	6.751665	920.8
45.599071	6.75163	920.8
45.598999	6.751615	920.8
45.598925	6.751603	920.8
45.598848	6.7516	920.8
45.5987	6.75159	919.8
45.598629	6.751582	919.8
45.598552	6.751571	919.8
45.598479	6.751563	919.8
45.598333	6.751525	919.8
45.598261	6.751496	919.8
45.598188	6.751463	919.8
45.598119	6.751428	919.8
45.597978	6.751357	919.8
